"accession"	"organism"	"isolation_source"	"host"	"collected_by"	"mol_type"	"collection_date"	"isolate"	"db_xref"	"country"	"ids"
"KM233054"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"07-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3729"	"taxon:186538"	"Sierra Leone"	"G3729"
"KM233055"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"07-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3734.1"	"taxon:186538"	"Sierra Leone"	"G3734"
"KM233056"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"07-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3735.1"	"taxon:186538"	"Sierra Leone"	"G3735"
"KM233057"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"09-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3735.2"	"taxon:186538"	"Sierra Leone"	"G3735"
"KM233058"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"10-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3750.1"	"taxon:186538"	"Sierra Leone"	"G3750"
"KM233059"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"12-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3750.2"	"taxon:186538"	"Sierra Leone"	"G3750"
"KM233060"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"14-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3750.3"	"taxon:186538"	"Sierra Leone"	"G3750"
"KM233061"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"10-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3752"	"taxon:186538"	"Sierra Leone"	"G3752"
"KM233062"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"11-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3758"	"taxon:186538"	"Sierra Leone"	"G3758"
"KM233063"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"12-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3764"	"taxon:186538"	"Sierra Leone"	"G3764"
"KM233064"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"14-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3765.2"	"taxon:186538"	"Sierra Leone"	"G3765"
"KM233065"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"12-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3769.1"	"taxon:186538"	"Sierra Leone"	"G3769"
"KM233066"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"13-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3769.2"	"taxon:186538"	"Sierra Leone"	"G3769"
"KM233067"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"15-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3769.3"	"taxon:186538"	"Sierra Leone"	"G3769"
"KM233068"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"16-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3769.4"	"taxon:186538"	"Sierra Leone"	"G3769"
"KM233069"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"12-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3770.1"	"taxon:186538"	"Sierra Leone"	"G3770"
"KM233070"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"14-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3770.2"	"taxon:186538"	"Sierra Leone"	"G3770"
"KM233071"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"12-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3771"	"taxon:186538"	"Sierra Leone"	"G3771"
"KM233072"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"14-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3782"	"taxon:186538"	"Sierra Leone"	"G3782"
"KM233073"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"14-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3786"	"taxon:186538"	"Sierra Leone"	"G3786"
"KM233074"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"14-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3787"	"taxon:186538"	"Sierra Leone"	"G3787"
"KM233075"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"14-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3788"	"taxon:186538"	"Sierra Leone"	"G3788"
"KM233076"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"14-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3789.1"	"taxon:186538"	"Sierra Leone"	"G3789"
"KM233077"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"15-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3795"	"taxon:186538"	"Sierra Leone"	"G3795"
"KM233078"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"15-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3796"	"taxon:186538"	"Sierra Leone"	"G3796"
"KM233079"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"15-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3798"	"taxon:186538"	"Sierra Leone"	"G3798"
"KM233080"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"15-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3799"	"taxon:186538"	"Sierra Leone"	"G3799"
"KM233081"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"15-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3800"	"taxon:186538"	"Sierra Leone"	"G3800"
"KM233082"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"15-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3805.1"	"taxon:186538"	"Sierra Leone"	"G3805"
"KM233083"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"20-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3805.2"	"taxon:186538"	"Sierra Leone"	"G3805"
"KM233084"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"15-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3807"	"taxon:186538"	"Sierra Leone"	"G3807"
"KM233085"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"15-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3808"	"taxon:186538"	"Sierra Leone"	"G3808"
"KM233086"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"15-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3809"	"taxon:186538"	"Sierra Leone"	"G3809"
"KM233087"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"15-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3810.1"	"taxon:186538"	"Sierra Leone"	"G3810"
"KM233088"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"17-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3810.2"	"taxon:186538"	"Sierra Leone"	"G3810"
"KM233089"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"15-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3814"	"taxon:186538"	"Sierra Leone"	"G3814"
"KM233090"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"15-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3816"	"taxon:186538"	"Sierra Leone"	"G3816"
"KM233091"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"15-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3817"	"taxon:186538"	"Sierra Leone"	"G3817"
"KM233092"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"15-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3818"	"taxon:186538"	"Sierra Leone"	"G3818"
"KM233093"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"15-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3819"	"taxon:186538"	"Sierra Leone"	"G3819"
"KM233094"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"15-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3820"	"taxon:186538"	"Sierra Leone"	"G3820"
"KM233095"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"15-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3821"	"taxon:186538"	"Sierra Leone"	"G3821"
"KM233096"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"15-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3822"	"taxon:186538"	"Sierra Leone"	"G3822"
"KM233097"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"15-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3823"	"taxon:186538"	"Sierra Leone"	"G3823"
"KM233098"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"16-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3825.1"	"taxon:186538"	"Sierra Leone"	"G3825"
"KM233099"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"17-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3825.2"	"taxon:186538"	"Sierra Leone"	"G3825"
"KM233100"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"16-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3826"	"taxon:186538"	"Sierra Leone"	"G3826"
"KM233101"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"16-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3827"	"taxon:186538"	"Sierra Leone"	"G3827"
"KM233102"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"16-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3829"	"taxon:186538"	"Sierra Leone"	"G3829"
"KM233103"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"16-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3831"	"taxon:186538"	"Sierra Leone"	"G3831"
"KM233104"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"17-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3834"	"taxon:186538"	"Sierra Leone"	"G3834"
"KM233105"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"17-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3838"	"taxon:186538"	"Sierra Leone"	"G3838"
"KM233106"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"17-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3840"	"taxon:186538"	"Sierra Leone"	"G3840"
"KM233107"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"17-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3841"	"taxon:186538"	"Sierra Leone"	"G3841"
"KM233108"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"18-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3845"	"taxon:186538"	"Sierra Leone"	"G3845"
"KM233109"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"18-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3846"	"taxon:186538"	"Sierra Leone"	"G3846"
"KM233110"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"18-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3848"	"taxon:186538"	"Sierra Leone"	"G3848"
"KM233111"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"18-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3850"	"taxon:186538"	"Sierra Leone"	"G3850"
"KM233112"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"18-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3851"	"taxon:186538"	"Sierra Leone"	"G3851"
"KM233113"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"18-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3856.1"	"taxon:186538"	"Sierra Leone"	"G3856"
"KM233114"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"20-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3856.3"	"taxon:186538"	"Sierra Leone"	"G3856"
"KM233115"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"18-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3857"	"taxon:186538"	"Sierra Leone"	"G3857"
"KM233116"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"04-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-NM042.1"	"taxon:186538"	"Sierra Leone"	"NM042"
"KM233117"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"09-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-NM042.2"	"taxon:186538"	"Sierra Leone"	"NM042"
"KM233118"	"Zaire ebolavirus"	NA	"Homo sapiens"	NA	"viral cRNA"	"12-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-NM042.3"	"taxon:186538"	"Sierra Leone"	"NM042"
"KR105200"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"16-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3838.2"	"taxon:186538"	"Sierra Leone: Kailahun"	"G3838"
"KR105201"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"19-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3845.2"	"taxon:186538"	"Sierra Leone: Kenema"	"G3845"
"KR105202"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"18-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3851.2"	"taxon:186538"	"Sierra Leone: Kenema"	"G3851"
"KR105203"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"17-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3855.2"	"taxon:186538"	"Sierra Leone: Kenema"	"G3855"
"KR105204"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"19-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3886.1"	"taxon:186538"	"Sierra Leone: Kenema"	"G3886"
"KR105205"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"19-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3889.1"	"taxon:186538"	"Sierra Leone: Kenema"	"G3889"
"KR105206"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"21-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3913.1"	"taxon:186538"	"Sierra Leone: Kenema"	"G3913"
"KR105207"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"21-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3917.1"	"taxon:186538"	"Sierra Leone: Kenema"	"G3917"
"KR105208"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"22-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3926.2"	"taxon:186538"	"Sierra Leone: Kailahun"	"G3926"
"KR105209"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"24-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3949.1"	"taxon:186538"	"Sierra Leone"	"G3949"
"KR105210"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"24-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3950.1"	"taxon:186538"	"Sierra Leone"	"G3950"
"KR105211"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"25-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3952.1"	"taxon:186538"	"Sierra Leone: Kailahun"	"G3952"
"KR105212"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"24-Jun-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G3972.1"	"taxon:186538"	"Sierra Leone"	"G3972"
"KR105213"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"05-Jul-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4132.1"	"taxon:186538"	"Sierra Leone: Kenema"	"G4132"
"KR105214"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"04-Jul-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4133.1"	"taxon:186538"	"Sierra Leone: Kailahun"	"G4133"
"KR105215"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"06-Jul-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4151.1"	"taxon:186538"	"Sierra Leone: Kenema"	"G4151"
"KR105216"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"07-Jul-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4190.1"	"taxon:186538"	"Sierra Leone: Kailahun"	"G4190"
"KR105217"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"08-Jul-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4200.1"	"taxon:186538"	"Sierra Leone: Kenema"	"G4200"
"KR105218"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"08-Jul-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4217.1"	"taxon:186538"	"Sierra Leone: Bo"	"G4217"
"KR105219"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"09-Jul-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4221.1"	"taxon:186538"	"Sierra Leone"	"G4221"
"KR105220"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"11-Jul-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4235.1"	"taxon:186538"	"Sierra Leone: Kailahun"	"G4235"
"KR105221"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"10-Jul-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4236.1"	"taxon:186538"	"Sierra Leone: Kailahun"	"G4236"
"KR105222"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"11-Jul-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4250.1"	"taxon:186538"	"Sierra Leone: Kailahun"	"G4250"
"KR105223"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"11-Jul-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4251.1"	"taxon:186538"	"Sierra Leone: Kailahun"	"G4251"
"KR105224"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"11-Jul-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4252.1"	"taxon:186538"	"Sierra Leone: Kailahun"	"G4252"
"KR105225"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"11-Jul-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4254.1"	"taxon:186538"	"Sierra Leone: Kailahun"	"G4254"
"KR105226"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"11-Jul-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4255.1"	"taxon:186538"	"Sierra Leone: Kailahun"	"G4255"
"KR105227"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"11-Jul-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4263.1"	"taxon:186538"	"Sierra Leone: Kenema"	"G4263"
"KR105228"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"11-Jul-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4264.1"	"taxon:186538"	"Sierra Leone: Kenema"	"G4264"
"KR105229"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"12-Jul-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4299.1"	"taxon:186538"	"Sierra Leone: Kailahun"	"G4299"
"KR105230"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"12-Jul-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4312.2"	"taxon:186538"	"Sierra Leone: Port Loko"	"G4312"
"KR105231"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"13-Jul-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4316.1"	"taxon:186538"	"Sierra Leone: Kenema"	"G4316"
"KR105232"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"14-Jul-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4323.2"	"taxon:186538"	"Sierra Leone: Kenema"	"G4323"
"KR105233"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"14-Jul-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4324.1"	"taxon:186538"	"Sierra Leone: Kenema"	"G4324"
"KR105234"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"14-Jul-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4325.1"	"taxon:186538"	"Sierra Leone: Kenema"	"G4325"
"KR105235"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"14-Jul-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4329.1"	"taxon:186538"	"Sierra Leone: Kailahun"	"G4329"
"KR105236"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"13-Jul-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4333.1"	"taxon:186538"	"Sierra Leone: Kailahun"	"G4333"
"KR105237"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"14-Jul-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4334.1"	"taxon:186538"	"Sierra Leone: Kenema"	"G4334"
"KR105238"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"14-Jul-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4337.1"	"taxon:186538"	"Sierra Leone: Kailahun"	"G4337"
"KR105239"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"18-Jul-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4345.1"	"taxon:186538"	"Sierra Leone: Kenema"	"G4345"
"KR105240"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"15-Jul-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4347.1"	"taxon:186538"	"Sierra Leone: Kenema"	"G4347"
"KR105241"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"09-Jul-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4348.1"	"taxon:186538"	"Sierra Leone: Kenema"	"G4348"
"KR105242"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"14-Jul-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4350.1"	"taxon:186538"	"Sierra Leone: Kenema"	"G4350"
"KR105243"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"15-Jul-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4380.1"	"taxon:186538"	"Sierra Leone: Kenema"	"G4380"
"KR105244"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"16-Jul-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4382.1"	"taxon:186538"	"Sierra Leone: Kenema"	"G4382"
"KR105245"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"16-Jul-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4389.1"	"taxon:186538"	"Sierra Leone: Kenema"	"G4389"
"KR105246"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"18-Jul-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G4406.1"	"taxon:186538"	"Sierra Leone: Kono"	"G4406"
