"accession"	"organism"	"isolation_source"	"host"	"collected_by"	"mol_type"	"collection_date"	"isolate"	"db_xref"	"country"	"ids"
"KR105302"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"25-Aug-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G5295.1"	"taxon:186538"	"Sierra Leone"	"G5295"
"KR105303"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"25-Aug-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G5296.1"	"taxon:186538"	"Sierra Leone"	"G5296"
"KR105304"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"28-Aug-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G5304.1"	"taxon:186538"	"Sierra Leone"	"G5304"
"KR105305"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"28-Aug-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G5364.1"	"taxon:186538"	"Sierra Leone"	"G5364"
"KR105306"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"28-Aug-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G5370.1"	"taxon:186538"	"Sierra Leone: Kenema"	"G5370"
"KR105307"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"04-Sep-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G5516.1"	"taxon:186538"	"Sierra Leone: Moyamba"	"G5516"
"KR105308"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"05-Sep-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G5520.1"	"taxon:186538"	"Sierra Leone: Kenema"	"G5520"
"KR105309"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"05-Sep-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G5529.1"	"taxon:186538"	"Sierra Leone: Kono"	"G5529"
"KR105310"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"08-Sep-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G5570.1"	"taxon:186538"	"Sierra Leone: Kenema"	"G5570"
"KR105311"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"08-Sep-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G5571.1"	"taxon:186538"	"Sierra Leone: Kenema"	"G5571"
